Universidad,Facultad,Dirección
Universidad Católica de La Plata,Facultad de Ciencias Exáctas e Ingeniería,Dirección: Diagonal 73 2137 - La Plata - Buenos Aires 
Universidad Católica de La Plata,Facultad de Humanidades,Dirección: 11 e/ 51 y 53 972 - La Plata - Buenos Aires 
Universidad Católica de La Plata,Facultad de Odontología,"Dirección: Av. 13 680, X5018ADN La Plata – Buenos Aires"
Universidad Católica de Santiago del Estero,Departamento Académico Buenos Aires,Dirección: Corrientes 180 - Olivos - Buenos Aires 
Universidad de Belgrano,Facultad de Arquitectura y Urbanismo,Dirección: Zabala 1837 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad de Belgrano,Facultad de Humanidades,Dirección: Zabala 1837 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad de Belgrano,Facultad de Ciencias de la Salud,Dirección: Villanueva 1324 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad de Belgrano,Facultad de Ciencias Exactas y Naturales,Dirección: Villanueva 1324 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad de Belgrano,Facultad de Ciencias Económicas,Dirección: Zabala 1837 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad de Belgrano,Facultad de Derecho y Ciencias Sociales,Dirección: Zabala 1837 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad de Belgrano,Facultad de Ciencias Agrarias,Dirección: Federico Lacroze 1955 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad de Belgrano,Facultad de Estudios para Graduados,Dirección: Lavalle 485 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad de Belgrano,Facultad de Humanidades - Escuela de Lenguas y Estudios Extranjeros,Dirección: Zabala 1837 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
