zona_id,lat,lng
S00269,-34.7890475,-58.293774
S00270,-34.779668,-58.2691405
S00271,-34.8027535,-58.265069
S00272,-34.7888375,-58.2709135
S00273,-34.837034,-58.2778305
S00274,-34.8009015,-58.243961
S00275,-34.81889,-58.2707265
S00276,-38.112078,-57.8430195
S00277,-34.2307885,-61.1039405
S00278,-34.3031975,-61.3077755
S00279,-37.24893,-61.26352
S00280,-37.0018425,-57.1364395
S00281,-36.9926685,-57.130794
S00282,-35.518531,-58.314951
S00283,-38.0148375,-57.539203
S00284,-38.02362,-57.578357
S00285,-37.9932605,-57.5589565
S00286,-38.0334865,-57.569308
S00287,-38.0351425,-57.716199
S00288,-37.984546,-57.552438
S00289,-37.9647705,-57.587346
S00290,-38.021396,-57.6142075
S00291,-34.6049795,-58.9491535
S00292,-34.530559,-58.577174
S00293,-34.5912955,-58.525798
S00294,-34.5307405,-58.5644515
S00295,-34.554165,-58.562898
S00296,-34.5697105,-58.5354965
S00297,-34.554367,-58.554036
S00298,-34.5882695,-58.5632695
S00299,-34.5510715,-58.568414
S00300,-34.115159,-59.010785
S00301,-34.9998035,-61.036636
S00302,-35.0310285,-63.018067
S00303,-36.7602975,-62.4987765
S00304,-34.5905335,-60.953368
S00305,-34.590227,-60.9364235
S00306,-34.480964,-58.623742
S00307,-34.4549795,-58.6236205
S00308,-34.4267955,-58.5746235
S00309,-34.4498165,-58.6031675
S00310,-34.4933295,-58.640076
S00311,-36.020807,-59.101221
S00312,-36.0133765,-59.100889
S00313,-34.862374,-61.5228815
S00314,-35.1432715,-61.969057
S00315,-37.7857365,-58.8481805
S00316,-35.1706335,-59.0931505
S00317,-35.1840685,-59.0973305
S00318,-34.7756885,-58.3940725
S00319,-34.7107915,-58.45029
S00320,-34.7522855,-58.4436025
S00321,-34.7226815,-58.4441665
S00322,-34.726133,-58.446807
S00323,-34.730595,-58.4653395
S00324,-34.7518005,-58.432375
S00325,-34.748376,-58.4505085
S00326,-34.7168435,-58.4365315
S00327,-34.800914,-58.4306485
S00328,-34.754497,-58.3404375
S00329,-34.7360445,-58.4102305
S00330,-34.756855,-58.3662505
S00331,-34.7493495,-58.3778455
S00332,-34.7569055,-58.390681
S00333,-34.7507885,-58.4193045
S00334,-34.7051695,-58.441635
S00335,-34.761326,-58.3956305
S00336,-34.5663495,-59.1097915
S00337,-34.57536,-59.1050425
S00338,-34.5640095,-59.1179075
S00339,-34.7842105,-58.8325655
S00340,-37.2752975,-57.7738405
S00341,-37.447086,-57.7276285
S00342,-34.699195,-58.509629
S00343,-34.698159,-58.488934
S00344,-34.6430255,-58.5658715
S00345,-34.776246,-58.6071255
S00346,-34.689964,-58.4930185
S00347,-34.7344245,-58.526624
S00348,-34.764948,-58.640339
S00349,-34.7377915,-58.6288735
S00350,-34.771703,-58.6182315
S00351,-34.718943,-58.522692
S00352,-34.7110265,-58.591875
S00353,-34.8294245,-58.653922
S00354,-34.836437,-58.6463905
S00355,-34.665319,-58.5242835
S00356,-34.7155915,-58.568862
