Universidad,Facultad,Direccion
Universidad Nacional de San Martín,Instituto de Investigaciones sobre el Patrimonio Cultural,Dirección: Benito Quinquela Martín 1784 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad Nacional de San Martín,Instituto de Ciencias de la Rehabilitación y el Movimiento,Dirección: Dragones 2201 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad Nacional de Tres de Febrero,Aromos,"Dirección: De los Aromos 6231, B1684BYG Cdad. Jardin Lomas de Palomar, Buenos Aires"
Universidad Nacional de Tres de Febrero,Caseros I,"Dirección: Valentín Gómez 4828/38, Caseros, Pcia de Buenos Aires"
Universidad Nacional de Tres de Febrero,Dirección Académica de Postgrados,Dirección: Viamonte 525 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad Nacional José C. Paz,Departamento de Ciencias de la Salud y el Deporte,Dirección: Leandro N. Alem 4731 - Jose Clemente Paz - Buenos Aires 
Universidad Nacional José C. Paz,Departamento de Ciencias Jurídicas y Sociales,Dirección: Leandro N. Alem 4731 - Jose Clemente Paz - Buenos Aires 
Universidad Nacional José C. Paz,"Departamento de Economía, Producción e Innovación Tecnológica",Dirección: Leandro N. Alem 4731 - Jose Clemente Paz - Buenos Aires 
Universidad Notarial Argentina,Universidad Notarial Argentina,Dirección: Calle 51 435 - La Plata - Buenos Aires 
Universidad Tecnológica Nacional,Facultad Regional Delta,Dirección: San Martín 1171 - Campana - Buenos Aires 
