Universidad,Sede,Direccion
Universidad de Buenos Aires,Facultad de Ciencias Sociales,Dirección: Marcelo T. de Alvear 2230 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad Argentina de la Empresa,Facultad de Ciencias Económicas,Dirección: Lima 717 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad ISALUD,Universidad ISALUD - Área Académica,Dirección: Venezuela 925/31 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad Abierta Interamericana,Facultad de Ciencias de la Comunicación,Dirección: Chacabuco 90 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad Abierta Interamericana,Facultad de Ciencias Empresariales,Dirección: Chacabuco 90 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad Abierta Interamericana,Facultad de Desarrollo e Investigación Educativos,Dirección: Chacabuco 90 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad Abierta Interamericana,Facultad de Medicina y Ciencias de la Salud,Dirección: Chacabuco 90 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad Abierta Interamericana,Facultad de Psicología y Relaciones Humanas,Dirección: Chacabuco 90 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Pontificia Universidad Católica Argentina Santa María de los Buenos Aires,Facultad de Artes y Ciencias Musicales,Dirección: Av. Alicia Moreau de Justo 1500 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Pontificia Universidad Católica Argentina Santa María de los Buenos Aires,Facultad de Ciencias Médicas,Dirección: Av. Alicia Moreau de Justo 1600 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Pontificia Universidad Católica Argentina Santa María de los Buenos Aires,Facultad de Ciencias Sociales,Dirección: Av. Alicia Moreau de Justo 1500 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Pontificia Universidad Católica Argentina Santa María de los Buenos Aires,Facultad de Derecho,Dirección: Av. Alicia Moreau de Justo 1400 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Pontificia Universidad Católica Argentina Santa María de los Buenos Aires,Facultad de Psicología y Psicopedagogía,Dirección: Av. Alicia Moreau de Justo 1500 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Pontificia Universidad Católica Argentina Santa María de los Buenos Aires,Facultad de Ciencias Económicas,Dirección: Alicia Moreau de Justo 1400 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
Universidad de Buenos Aires,Facultad de Ingeniería,Dirección: Paseo Colón 850 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires 
