cue,anexo,nombre_estab,lat,lng,municipio,Provincia,nivel,sector de gestión,Matricula est 5to
617871,0,ESCUELA DE EDUCACIÓN SECUNDARIA Nº21,-34.832172,-58.436729,Almirante Brown,Buenos Aires,Nivel Secundario,Estatal,59.0
618090,0,ESCUELA DE EDUCACIÓN SECUNDARIA Nº22,-34.780613,-58.359022,Almirante Brown,Buenos Aires,Nivel Secundario,Estatal,30.0
618600,0,ESCUELA DE EDUCACION SECUNDARIA Nº23,-34.8718,-58.369268,Almirante Brown,Buenos Aires,Nivel Secundario,Estatal,45.0
618594,0,ESCUELA DE EDUCACIÓN SECUNDARIA Nº24,-34.823635,-58.41365,Almirante Brown,Buenos Aires,Nivel Secundario,Estatal,36.0
617862,0,ESCUELA DE EDUCACION SECUNDARIA Nº25,-34.878484,-58.347131,Almirante Brown,Buenos Aires,Nivel Secundario,Estatal,85.0
617866,0,ESCUELA DE EDUCACION SECUNDARIA Nº26,-34.878849,-58.37864,Almirante Brown,Buenos Aires,Nivel Secundario,Estatal,72.0
618601,0,ESCUELA DE EDUCACIÓN SECUNDARIA Nº27,-34.825982,-58.372879,Almirante Brown,Buenos Aires,Nivel Secundario,Estatal,40.0
617860,0,ESCUELA DE EDUCACIÓN SECUNDARIA Nº28,-34.801672,-58.371634,Almirante Brown,Buenos Aires,Nivel Secundario,Estatal,25.0
617867,0,ESCUELA DE EDUCACIÓN SECUNDARIA Nº29,-34.809213,-58.351937,Almirante Brown,Buenos Aires,Nivel Secundario,Estatal,24.0
617881,0,"ESCUELA DE EDUCACIÓN SECUNDARIA Nº30 ""CARLOS GARDEL""",-34.822636,-58.350275,Almirante Brown,Buenos Aires,Nivel Secundario,Estatal,38.0
617855,0,ESCUELA DE EDUCACIÓN SECUNDARIA Nº31,-34.786143,-58.374394,Almirante Brown,Buenos Aires,Nivel Secundario,Estatal,40.0
618592,0,ESCUELA DE EDUCACIÓN SECUNDARIA Nº32,-34.808342,-58.394122,Almirante Brown,Buenos Aires,Nivel Secundario,Estatal,39.0
617877,0,ESCUELA DE EDUCACIÓN SECUNDARIA Nº33,-34.819834,-58.431896,Almirante Brown,Buenos Aires,Nivel Secundario,Estatal,38.0
617887,0,ESCUELA DE EDUCACIÓN SECUNDARIA Nº34,-34.776129,-58.333057,Almirante Brown,Buenos Aires,Nivel Secundario,Estatal,34.0
623090,0,ESCUELA DE EDUCACIÓN SECUNDARIA Nº35,-34.856781,-58.3542,Almirante Brown,Buenos Aires,Nivel Secundario,Estatal,20.0
618067,0,ESCUELA DE EDUCACIÓN SECUNDARIA Nº36,-34.862809,-58.372919,Almirante Brown,Buenos Aires,Nivel Secundario,Estatal,46.0
618597,0,ESCUELA DE EDUCACIÓN SECUNDARIA Nº37,-34.786735,-58.318595,Almirante Brown,Buenos Aires,Nivel Secundario,Estatal,40.0
